Numero,Estado,Tiempo de Ejecución (ns)
37837,OK,2287
53743,OK,1388
42919,OK,1016
46031,OK,1129
34571,OK,1088
37837,OK,950
39407,OK,971
40913,OK,1010
36581,OK,1034
43039,OK,1395
40991,OK,1112
41693,OK,2280
46003,OK,2184
41917,OK,1924
52961,OK,1466
57311,OK,1354
37627,OK,1115
39271,OK,1027
38579,OK,1016
47053,OK,1269
60491,OK,1466
33667,OK,830
29353,OK,908
57311,OK,1314
48319,OK,2253
28417,OK,1963
37001,OK,1241
52961,OK,1236
41917,OK,1025
35611,OK,908
36581,OK,954
49601,OK,1150
43811,OK,1182
46031,OK,1357
46517,OK,1202
24883,OK,926
23393,OK,1159
50851,OK,2325
39407,OK,1186
64507,OK,1648
38579,OK,1058
37837,OK,1191
55973,OK,1577
28459,OK,1164
36503,OK,1289
28103,OK,1214
43357,OK,2251
35639,OK,1189
58853,OK,1381
64507,OK,1495
46517,OK,1134
35183,OK,920
35011,OK,929
57479,OK,1377
47897,OK,1226
25777,OK,907
35639,OK,965
40301,OK,2383
27641,OK,775
23393,OK,1153
31439,OK,885
61937,OK,1365
64507,OK,1615
36581,OK,1136
38191,OK,1961
29987,OK,1151
59989,OK,1329
28459,OK,1601
34571,OK,2189
36503,OK,2024
51983,OK,2218
39407,OK,1997
50851,OK,2328
57311,OK,1946
52961,OK,1427
43931,OK,1156
50629,OK,1113
41989,OK,1100
54227,OK,1188
28459,OK,896
39407,OK,921
58339,OK,1222
52961,OK,1419
31439,OK,902
27161,OK,920
47053,OK,1195
55973,OK,4902
50629,OK,1977
58339,OK,2148
64507,OK,2569
57311,OK,2292
33043,OK,1222
31439,OK,1094
33227,OK,1637
26219,OK,1603
34387,OK,1053
28907,OK,828
35237,OK,963
31861,OK,911
40349,OK,949
41347,OK,1096
43931,OK,1137
44461,OK,1228
33227,OK,924
33127,OK,947
28103,OK,907
33673,OK,1077
35237,OK,1766
40349,OK,1952
33227,OK,1617
39617,OK,1698
54227,OK,1793
30929,OK,1786
33127,OK,1753
47941,OK,1985
54227,OK,2127
33823,OK,2886
64507,OK,2507
36581,OK,1815
40723,OK,2111
52891,OK,1884
40301,OK,1968
29893,OK,1954
57311,OK,2373
28907,OK,1650
31897,OK,1899
64507,OK,2370
29747,OK,1665
28907,OK,1523
47897,OK,2394
31861,OK,1705
54227,OK,2259
33127,OK,1638
43039,OK,2249
41567,OK,2183
31553,OK,1818
33127,OK,1745
37901,OK,2037
37241,OK,1902
20687,OK,1551
25777,OK,1752
37769,OK,2059
47053,OK,2268
35209,OK,1644
58483,OK,2595
39617,OK,1850
54227,OK,2146
27641,OK,1482
37399,OK,1635
40363,OK,2049
48443,OK,2284
33127,OK,1868
50629,OK,1929
37523,OK,1842
34121,OK,1850
64507,OK,2558
47053,OK,2078
31861,OK,1820
35639,OK,1141
38579,OK,926
47053,OK,1188
28891,OK,944
52961,OK,1281
54227,OK,1199
47053,OK,1128
49163,OK,1153
47053,OK,1182
29987,OK,864
33667,OK,1398
35611,OK,1474
31861,OK,1653
22331,OK,1744
47053,OK,1979
41917,OK,1482
40349,OK,1586
51067,OK,2427
40247,OK,1632
55973,OK,1813
35953,OK,1671
54707,OK,2209
28103,OK,1802
55973,OK,2016
27161,OK,1651
49447,OK,1033
39917,OK,1904
47053,OK,1204
37769,OK,1064
40301,OK,1157
47941,OK,1618
35953,OK,970
53743,OK,1469
33127,OK,952
24883,OK,984
57311,OK,1215
31439,OK,937
38293,OK,965
57311,OK,1326
61937,OK,2021
30301,OK,1052
56977,OK,2080
24797,OK,1365
57311,OK,2084
42919,OK,1581
35209,OK,1164
37399,OK,2103
47477,OK,2322
32399,OK,1052
35011,OK,965
48319,OK,1158
40349,OK,930
46003,OK,1051
47897,OK,1207
48443,OK,1309
55973,OK,1216
37001,OK,3724
43931,OK,2059
26671,OK,1525
40349,OK,1705
59989,OK,2207
33227,OK,1427
57311,OK,1927
30551,OK,1329
35209,OK,888
41707,OK,1061
44377,OK,1572
40913,OK,1006
48319,OK,1165
40723,OK,1780
54227,OK,1963
40991,OK,1730
47053,OK,2016
53743,OK,2069
54707,OK,2158
53297,OK,2110
54253,OK,2063
54227,OK,1988
29893,OK,1627
24523,OK,1464
41567,OK,2020
54227,OK,2094
30227,OK,1022
38293,OK,1386
54227,OK,1950
48319,OK,1889
58339,OK,1864
17947,OK,1481
43423,OK,1659
52961,OK,1978
23393,OK,1502
20413,OK,1284
52961,OK,2024
41567,OK,1773
49163,OK,1950
41917,OK,1380
31439,OK,1326
58339,OK,1319
31439,OK,1410
26167,OK,1409
35909,OK,1472
20567,OK,1360
54707,OK,2136
47053,OK,1839
21509,OK,1564
35011,OK,1527
50621,OK,1911
55973,OK,1940
49163,OK,1832
38191,OK,1642
28891,OK,1729
44929,OK,1565
30929,OK,1633
61423,OK,2099
35909,OK,975
35011,OK,970
58853,OK,1301
29353,OK,980
40363,OK,1098
31861,OK,939
41917,OK,1747
29651,OK,1407
47941,OK,1836
47053,OK,1260
50851,OK,1217
26123,OK,958
58339,OK,1248
47941,OK,1127
53743,OK,1812
60491,OK,1775
57311,OK,2212
37627,OK,1821
52961,OK,1902
35011,OK,1451
48443,OK,1855
54227,OK,1901
40301,OK,1657
55973,OK,2064
40363,OK,1699
34579,OK,1574
33127,OK,1015
29177,OK,1514
52961,OK,2132
58339,OK,2096
64507,OK,2419
58339,OK,2171
33127,OK,1039
50621,OK,1998
48319,OK,1196
37769,OK,856
47053,OK,2002
48319,OK,1884
42593,OK,1870
37241,OK,1708
50429,OK,1246
55973,OK,2011
54227,OK,1880
39917,OK,1728
55973,OK,2075
47053,OK,1973
55189,OK,2137
64507,OK,2267
17947,OK,1326
37523,OK,1553
46003,OK,1914
31439,OK,1665
36349,OK,1740
55973,OK,2308
35209,OK,1598
47053,OK,2206
33673,OK,1501
37399,OK,1414
60491,OK,2087
27161,OK,1560
60491,OK,2230
50851,OK,1723
39917,OK,1600
53743,OK,2032
35237,OK,1525
55973,OK,1897
21509,OK,1397
47053,OK,1660
48319,OK,2343
52961,OK,2110
24883,OK,4978
35209,OK,1558
23393,OK,2081
35011,OK,2050
54227,OK,2110
35183,OK,1520
24797,OK,1021
33127,OK,1244
55973,OK,1841
47897,OK,1671
34081,OK,1386
56977,OK,2459
35011,OK,1128
50621,OK,3645
52961,OK,2219
27331,OK,1411
34387,OK,1271
41693,OK,1494
49087,OK,1573
40349,OK,1462
52961,OK,1800
47053,OK,1563
31439,OK,1603
40723,OK,1418
40349,OK,1260
54227,OK,1768
28459,OK,1333
33043,OK,1259
29893,OK,1273
31439,OK,1147
47897,OK,1923
37837,OK,1501
33017,OK,1134
22879,OK,1283
23393,OK,1548
60491,OK,2176
40633,OK,2120
33127,OK,1386
33673,OK,1315
30551,OK,1053
37523,OK,1390
47897,OK,1837
50851,OK,1899
61937,OK,2012
38957,OK,1384
33127,OK,1256
44503,OK,1925
37241,OK,1299
33227,OK,1275
39407,OK,1342
54227,OK,1833
37241,OK,1428
35011,OK,1340
39917,OK,1522
35237,OK,1620
50851,OK,1750
49447,OK,1681
57311,OK,1830
31439,OK,1270
34387,OK,1196
39917,OK,1560
23393,OK,1283
33017,OK,1364
44461,OK,1532
27641,OK,1097
23393,OK,1336
49087,OK,1416
57311,OK,1989
21509,OK,1183
33823,OK,1432
52961,OK,1812
58483,OK,1896
50629,OK,1649
39913,OK,1448
43423,OK,1671
32899,OK,1480
26671,OK,1413
35237,OK,1416
35953,OK,1326
40247,OK,1283
29737,OK,1459
40349,OK,11208
41989,OK,16755
26671,OK,1295
40301,OK,1590
49163,OK,1858
58339,OK,2041
50851,OK,17282
58339,OK,2619
33823,OK,1638
33127,OK,1675
47053,OK,2174
57479,OK,2432
52961,OK,18365
36503,OK,2046
24613,OK,1807
37241,OK,1920
54227,OK,2335
44377,OK,2220
47053,OK,2273
52961,OK,2320
39917,OK,1977
23393,OK,1718
