Numero,Estado,Tiempo de Ejecución (ns),Tiempo de Exploración (ns),Tiempo de Divisibilidad (ns)
2658645617,OK,545132,299521,127497
3758347007,OK,64036,33335,14216
2474301457,OK,83024,29837,30732
1356830149,OK,15391,5697,5367
3610153619,OK,902588,501874,186595
3778929629,OK,72352,28471,22831
4031206951,OK,289551,157064,62011
3925613317,OK,598945,400846,86580
3766938431,OK,340493,167043,85136
2280114329,OK,140563,59238,46264
3375869789,OK,672596,379572,133555
1976534167,OK,9225,3041,3583
4162975777,OK,370172,158251,107039
4008069199,OK,430727,195725,112716
3757796993,OK,759750,404182,153159
2800345693,OK,9259,2868,4024
3046087171,OK,133541,86775,21466
3744013589,OK,17490,5736,6675
2958079331,OK,376283,237302,64969
3009578419,OK,173499,71099,53873
3347117797,OK,636904,356184,128043
2833262009,OK,6771,2002,2982
3888506821,OK,628218,379717,109393
1915262047,OK,708,276,0
4032513319,OK,232437,124639,49573
2117273527,OK,14113,6988,3542
3958598071,OK,320283,174640,63887
1201174939,OK,225130,108841,57579
3606965003,OK,238600,112008,58952
4181030587,OK,504842,354000,64833
4165466183,OK,193173,84275,55565
3057252049,OK,46429,15522,18449
3237069041,OK,298430,120840,98729
2915480599,OK,8843,3314,2490
4028716283,OK,135259,79098,24102
2125574929,OK,40043,16198,13362
3101737649,OK,116662,53806,31374
3693840049,OK,297514,123955,87834
4270618531,OK,278236,180639,40529
3251487181,OK,543302,257940,154879
3272721169,OK,430725,162998,136465
3922566191,OK,228532,100936,59067
2609368123,OK,213771,121008,44967
2916210233,OK,72511,23115,28612
2212332509,OK,467653,259882,100348
2403307327,OK,26037,12334,5905
4111865081,OK,1215637,872902,124717
4177131769,OK,1099012,798427,118756
3349530533,OK,945979,525458,194099
3108456833,OK,3742,1510,1054
3588000799,OK,172098,73039,50846
2039300209,OK,559513,420776,44374
3760709671,OK,49742,17549,18156
4262862697,OK,304407,186540,51066
4037275811,OK,356441,163933,101244
2937661777,OK,11913,4014,4303
2025695297,OK,31833,7598,7423
3817857649,OK,60330,30042,13674
3244041557,OK,506237,263349,112794
2269611847,OK,78550,28029,21453
1668044857,OK,2707,769,1172
3919436263,OK,111692,46714,32035
4116270671,OK,442577,249771,82293
3420750901,OK,210284,139897,30631
4017957841,OK,150146,71428,37426
3461320879,OK,735475,374351,207309
1694650549,OK,64328,24271,22253
4073837387,OK,655038,314088,167226
3719291119,OK,487610,276112,101491
2967845893,OK,76851,38728,18762
1907680409,OK,166788,77827,47476
3044198231,OK,117819,50106,35200
2209120163,OK,298095,145038,81572
4145112107,OK,179208,109334,31077
4230609961,OK,669747,351559,150055
1951698631,OK,84631,27544,35977
4262337613,OK,521917,350302,76188
3907797997,OK,162064,67040,47233
2937516787,OK,2078,834,510
2569012223,OK,27489,8278,11580
3237139291,OK,299321,151110,71079
3162750083,OK,257830,116904,70090
2474385677,OK,115235,63338,26551
2927572589,OK,478835,227088,121374
2802830731,OK,2582,941,550
1932009061,OK,24877,11085,8476
3428545919,OK,324841,135653,94845
2023119023,OK,221791,98690,66308
2222160823,OK,47853,16154,18783
3280323461,OK,310901,130975,94425
2551412389,OK,211510,31631,95577
3786140999,OK,1266698,596882,345076
2943688129,OK,433931,195380,118839
3918038801,OK,1038169,554344,225254
2193681653,OK,10972,4123,3386
3873673571,OK,791095,482857,129898
3798904537,OK,361508,146453,110273
4092376139,OK,217435,196474,8163
1915178633,OK,1450,399,346
4269807007,OK,136001,86904,17333
3737553643,OK,555124,332533,94991
3807275113,OK,506993,229411,134492
2194823167,OK,179606,76506,58544
3611585333,OK,1214352,688289,243567
3200043559,OK,11007,4077,3897
2152642097,OK,33561,6253,21442
3660436519,OK,242146,208716,7171
3910821139,OK,562944,253665,132880
2213507941,OK,24385,8457,9060
3555500407,OK,694221,335787,149697
3482522629,OK,326580,135674,97195
4168611959,OK,144789,81624,27037
1720665019,OK,84155,40342,21789
1335383453,OK,351482,160114,82537
3904131689,OK,499609,229270,126200
3697294807,OK,15269,6584,3985
4177131769,OK,660890,470960,75547
4132094299,OK,478559,446875,12188
3151762969,OK,2183,864,632
2357018953,OK,175613,93532,41061
1730823109,OK,387151,200564,95536
3914220263,OK,516282,275304,114267
3689147699,OK,65699,23372,22846
2529140987,OK,252019,111001,66309
2889646873,OK,81351,40317,18171
2835831601,OK,26624,17951,4076
4197687931,OK,713284,368342,153052
4211860231,OK,588864,271156,157336
2889792559,OK,7081,2049,3267
4032891007,OK,570593,260079,149422
3966200873,OK,72623,25986,26136
4089499423,OK,1210638,758316,202199
4052585399,OK,278396,130327,69447
3124865741,OK,119206,73495,19811
4040980897,OK,1492817,961201,224267
3966200873,OK,123144,44690,42043
1759940411,OK,32007,10568,12543
3994500749,OK,880467,544955,142549
2214560767,OK,1119,510,0
4230201431,OK,569337,227393,217361
4079138201,OK,835471,521632,140868
2156164771,OK,20958,6790,8450
3213622001,OK,11107,3142,4898
3292835939,OK,440550,319722,56064
3919379341,OK,431108,196000,118448
4271010253,OK,279951,174980,41732
2967047549,OK,312846,160695,76317
1937314091,OK,87635,42385,23240
4237687957,OK,842798,491607,144550
3994702183,OK,201497,70301,60312
3947328331,OK,349046,291363,23473
2448343663,OK,97850,40198,30520
3838103453,OK,117645,68281,21467
3300315331,OK,259246,90925,87173
4022595523,OK,402865,278002,51603
2628899083,OK,237899,151916,41288
4252564543,OK,264778,238364,10011
2505382163,OK,17488,5420,7469
3406587931,OK,854321,485174,164665
4236524059,OK,633743,363063,118764
3774472441,OK,606692,336818,123840
3746363921,OK,28800,10018,10233
3772171471,OK,120423,47186,38491
3650571283,OK,515809,267340,112028
2897782373,OK,55986,19359,21305
4037879077,OK,369534,158699,108153
2260270487,OK,302112,223790,31536
3259348321,OK,343325,181141,70205
1833219961,OK,29241,18544,5159
3063199861,OK,430133,187179,117754
2131733719,OK,952,377,0
3284648903,OK,392300,172939,109737
3961252891,OK,332688,150498,90236
3280159313,OK,82548,34685,22939
3905116981,OK,1261410,696046,233462
4206637271,OK,1021667,751553,109362
2935698929,OK,440075,342589,43089
3346735897,OK,357591,141910,111972
4030101223,OK,467034,196748,122113
1992403339,OK,39657,17962,11438
3525668903,OK,27199,9649,9612
3095651473,OK,567481,285713,132232
3725010881,OK,628862,336485,140034
2633223469,OK,327768,248440,44498
3359623231,OK,10659,4364,3126
3195637559,OK,193898,100521,53665
4043829511,OK,136257,65677,34074
4164198953,OK,657389,472340,77871
3860051051,OK,488760,247154,111720
3748998653,OK,225550,144854,35145
4050162481,OK,414429,175368,111701
3237327089,OK,17543,5319,7702
4077062279,OK,105344,65694,14858
3025330337,OK,403076,204400,85899
3776463109,OK,265055,214934,21073
3293075707,OK,90572,46667,21547
