Numero,Estado,Tiempo de Ejecución (ns),Tiempo de Exploración (ns),Tiempo de Divisibilidad (ns)
13831680479034605771,OK,19676,4212,11635
13294648149263216369,OK,24998651715,17048338780,3806557410
16094681482855223543,OK,287110583,102519890,105358498
9114170955273487157,OK,678341491,277217515,227817788
10412255735130380003,OK,18925228032,14732866911,2099152845
17298183317697644041,OK,37764597218,33106178272,2000718228
8674631727218707751,OK,86182010,30337738,33966093
18151899482490177407,OK,15724911,6832500,4466909
8713542856975390867,OK,765306667,313885237,254883260
13978879356019942283,OK,14546717820,7146761748,3711688500
8573333838793733509,OK,115106369,51731645,34351443
13772203159552092973,OK,8378904567,3834544592,2328943614
17102397730163218387,OK,8673658539,4488248476,2006769833
17747366961084111943,OK,2220195695,983606445,623670361
9490742607328042909,OK,14188656919,14065912859,54071003
16077881560040304149,OK,195144628,68490007,72918094
9209589241827100051,OK,4445474528,2048441846,1302356241
12376326823348842271,OK,491885127,201469523,156564644
18445618380015873583,OK,36568915165,20627718418,7430823815
18163077052185210329,OK,35617150059,34332639711,525261920
9230128806624008021,OK,2081077,596771,1007648
16130595358434344017,OK,2571896090,1890223288,304828473
18193962040874592631,OK,44698436692,32754897053,5272371166
8710314818921695061,OK,7215463218,3402938241,2055565959
18265788699538508483,OK,426812238,164341563,140776600
17865921728529572591,OK,19228126,6002027,8189564
18375247779907337899,OK,48610749512,32319175680,7307832371
14365978553171565427,OK,41677944266,26615264831,7131039286
17474715845343119333,OK,5322247753,2362535200,1499676795
18428817729994788869,OK,13698765337,6312656067,3667262561
17017395883320630437,OK,2600082592,1136173028,740569983
9259123776395754451,OK,15537829115,10010574366,2804810022
15982946013132553219,OK,10395323299,5438620712,2390844994
18372464842413458417,OK,26299589217,18600606340,3410639900
17159097029235629161,OK,3617856,1120412,1575376
13628190061578407951,OK,2703271,733122,1302252
18336279155362398757,OK,7982290294,6169543130,783456431
18391838844102381347,OK,35610710722,25204176725,4601172535
13843384588547406859,OK,17935075475,8773314338,4600137959
9179608201650853259,OK,4842531728,2622237333,1164677131
8918792348282675501,OK,538245709,202903382,196635389
17874637498022565089,OK,42753457761,25621201078,7873345494
18158205997441671559,OK,976995862,401260385,300589692
17868048544457630083,OK,4804653187,2164726049,1321711814
18143030789170977331,OK,37805769904,22348290187,7105282862
14247511591386578327,OK,40411587,13028741,16611508
17302827058063303459,OK,35798725860,28000385056,3416076092
13852541913884356409,OK,3801413189,1784526876,1017757525
18147200354262945887,OK,14060590202,6350774691,3850764701
18162874600200365159,OK,53574465881,38821724605,6490016341
16049925200613093403,OK,1143107818,448396175,374346856
18427042697754042811,OK,40623719165,37209137461,1417197953
16140844136297321737,OK,44436632,14476290,18185891
9727883024276173223,OK,15431915631,8381294095,3724714035
18375672371986336021,OK,10477171896,5377231633,2432602129
8641437636313586077,OK,1675838828,730897037,524611381
17842031673990342503,OK,103406476,34916511,40809212
17390721730357274251,OK,441927839,176188087,142048206
17260148685831914833,OK,58158627,18898534,23951071
17230766933816583737,OK,113133072,37228975,45392277
9479374067927902837,OK,240298171,85136492,93756800
13729110057897274987,OK,72239036,25601613,26708129
17302672734631539169,OK,6462208985,2850061040,1835219073
15132888268336518959,OK,21625867017,11241199076,5068088081
18176387976110049167,OK,34213072828,17928724015,7735160592
15890855349091239007,OK,3577903006,1539189334,1049413370
10300839707566789517,OK,31083004069,20766322530,5292734780
18433247727596659781,OK,30067359384,17564864554,5755473151
12096691909211868859,OK,10633387709,8491053119,1027674277
13850633973248571407,OK,24373549738,18171928505,2895979448
18446181175296393131,OK,48618265538,29639373842,8665754060
17865988921173752789,OK,1521366101,640093533,456538706
13871467007639736689,OK,20557600049,20538570618,8299175
10592473272899669057,OK,615481,148160,340968
18166558944193915999,OK,733119731,426087571,139749596
16794679721613160063,OK,28390842957,20552210848,3598397293
18298439264927906993,OK,266490920,99722938,93560100
18152140675375512653,OK,33807647626,28861830640,2154804484
14897241371186438197,OK,24958471232,14099331518,5212586325
17298057407857846897,OK,559084811,496261725,26542539
17817667740112340141,OK,30185693603,17815608325,5709625760
18284892749016693287,OK,114005148,40458390,42015594
16139933752496738731,OK,1037959,279873,525136
15194225493832277573,OK,12101885321,6480649321,2718465301
18356890688363854073,OK,41486089558,29757646842,5167428002
18306364845021536539,OK,38377410168,33036593718,2268437252
18445371856889995033,OK,13619171190,13466019161,60511712
