Numero,Estado,Tiempo de Ejecución (ns)
13831680479034605771,OK,15058634146
13294648149263216369,OK,15607718918
16094681482855223543,OK,17539797640
9114170955273487157,OK,10019079872
10412255735130380003,OK,13187944144
17298183317697644041,OK,20249479187
8674631727218707751,OK,10561690870
18151899482490177407,OK,20494887777
8713542856975390867,OK,10337143858
13978879356019942283,OK,14871303480
8573333838793733509,OK,10222120210
13772203159552092973,OK,14759561292
17102397730163218387,OK,19622626299
17747366961084111943,OK,22258236104
9490742607328042909,OK,11496282892
16077881560040304149,OK,19799019900
9209589241827100051,OK,11259437967
12376326823348842271,OK,17269483222
18445618380015873583,OK,22591356954
18163077052185210329,OK,22720017383
9230128806624008021,OK,11186586834
16130595358434344017,OK,21170825780
18193962040874592631,OK,24182474715
8710314818921695061,OK,11379447530
18265788699538508483,OK,24715117204
17865921728529572591,OK,22767903459
18375247779907337899,OK,22773383863
14365978553171565427,OK,17327836099
17474715845343119333,OK,22070520442
18428817729994788869,OK,22310598577
17017395883320630437,OK,21259442575
9259123776395754451,OK,10311907520
15982946013132553219,OK,18150164117
18372464842413458417,OK,21531438058
17159097029235629161,OK,20347249535
13628190061578407951,OK,16122788885
18336279155362398757,OK,21207899827
18391838844102381347,OK,21681600045
13843384588547406859,OK,15639111231
9179608201650853259,OK,11914464276
8918792348282675501,OK,10901792733
17874637498022565089,OK,21097104181
18158205997441671559,OK,21007642750
17868048544457630083,OK,20724050031
18143030789170977331,OK,19393716795
14247511591386578327,OK,16778372177
17302827058063303459,OK,18171843306
13852541913884356409,OK,14090938002
18147200354262945887,OK,19486306679
18162874600200365159,OK,19514246092
16049925200613093403,OK,17234471713
18427042697754042811,OK,19223298439
16140844136297321737,OK,16864083331
9727883024276173223,OK,10052096399
18375672371986336021,OK,19255826869
8641437636313586077,OK,9644247302
17842031673990342503,OK,18438200872
17390721730357274251,OK,18630313675
17260148685831914833,OK,18691260855
17230766933816583737,OK,17821173806
9479374067927902837,OK,9946499518
13729110057897274987,OK,14499412279
17302672734631539169,OK,18152594537
15132888268336518959,OK,16951845287
18176387976110049167,OK,19208195128
15890855349091239007,OK,16410176579
10300839707566789517,OK,10529678896
18433247727596659781,OK,18738017525
12096691909211868859,OK,14360806547
13850633973248571407,OK,14325047986
18446181175296393131,OK,18374779613
17865988921173752789,OK,18422074101
13871467007639736689,OK,14573900304
10592473272899669057,OK,14482888699
18166558944193915999,OK,18835299434
16794679721613160063,OK,18115091603
18298439264927906993,OK,18876933929
18152140675375512653,OK,18637206551
14897241371186438197,OK,16819884370
17298057407857846897,OK,18242951567
17817667740112340141,OK,18657252413
18284892749016693287,OK,18662814466
16139933752496738731,OK,16901178030
15194225493832277573,OK,16844577200
18356890688363854073,OK,18877071307
18306364845021536539,OK,16312510536
18445371856889995033,OK,17105850161
17298055262220243349,OK,15937438204
15540486968424572543,OK,15451597156
13970250326720879927,OK,12625271303
13901531044474624081,OK,12380356570
13638066990488627299,OK,12189470652
17298045777422383867,OK,15759590915
18393305782975367011,OK,16486557663
14358578553134460559,OK,12784050372
18374798150201298593,OK,17343748326
13809212875837652789,OK,14083070073
9151870917740821889,OK,8713165313
18410575432429112143,OK,17034939946
17229915847893895189,OK,15475009874
16212691258108783043,OK,14474704173
9647129406734796049,OK,8637049705
17350051105397616161,OK,15395897704
16235764160587040983,OK,14897526031
17622376799926928269,OK,15893866879
9213346330640486929,OK,8167486701
9155612593446396523,OK,8676550939
18158784536218681171,OK,16091231127
13943365054625438689,OK,12372938161
17294121633314701213,OK,15257414840
17260113777337030133,OK,15402557320
16807908862404021949,OK,15663010978
18026020506474536981,OK,16166115673
17025552691316824069,OK,15384530562
18411667490482202569,OK,16412856328
16212477011660818963,OK,14309919964
16681527471902331413,OK,14757943749
17874778580872865237,OK,15996120080
18087751378620173399,OK,16095991392
16150052888156441633,OK,14344588117
9223127984285905253,OK,8209140441
17294816514993813283,OK,15343957432
10348240470631507673,OK,9141036915
17801265951320171261,OK,15940057240
14392694103075534361,OK,13210485922
17004588997367483891,OK,15172715310
11285606008258779893,OK,12397565272
18410717904824653481,OK,17321739716
