Numero,Estado,Tiempo de Ejecución (ns)
37837,OK,2928
53743,OK,2125
42919,OK,1111
46031,OK,1067
34571,OK,919
37837,OK,781
39407,OK,811
40913,OK,851
36581,OK,792
43039,OK,1002
40991,OK,872
41693,OK,864
46003,OK,832
41917,OK,856
52961,OK,1123
57311,OK,1117
37627,OK,964
39271,OK,910
38579,OK,866
47053,OK,1002
60491,OK,1293
33667,OK,692
29353,OK,778
57311,OK,1106
48319,OK,1027
28417,OK,791
37001,OK,838
52961,OK,1022
41917,OK,884
35611,OK,742
36581,OK,787
49601,OK,940
43811,OK,959
46031,OK,927
46517,OK,924
24883,OK,793
23393,OK,744
50851,OK,1018
39407,OK,757
64507,OK,2009
38579,OK,1282
37837,OK,2206
55973,OK,3280
28459,OK,1153
36503,OK,1460
28103,OK,1306
43357,OK,932
35639,OK,788
58853,OK,1158
64507,OK,1200
46517,OK,920
35183,OK,765
35011,OK,852
57479,OK,1108
47897,OK,995
25777,OK,750
35639,OK,825
40301,OK,915
27641,OK,684
23393,OK,730
31439,OK,754
61937,OK,1179
64507,OK,1167
36581,OK,782
38191,OK,894
29987,OK,813
59989,OK,1119
28459,OK,732
34571,OK,954
36503,OK,847
51983,OK,1106
39407,OK,791
50851,OK,1011
57311,OK,1020
52961,OK,1066
43931,OK,949
50629,OK,948
41989,OK,1023
54227,OK,1050
28459,OK,813
39407,OK,811
58339,OK,1061
52961,OK,1026
31439,OK,749
27161,OK,808
47053,OK,1056
55973,OK,4170
50629,OK,919
58339,OK,1111
64507,OK,1180
57311,OK,1030
33043,OK,820
31439,OK,766
33227,OK,764
26219,OK,774
34387,OK,696
28907,OK,684
35237,OK,842
31861,OK,774
40349,OK,842
41347,OK,822
43931,OK,968
44461,OK,839
33227,OK,731
33127,OK,777
28103,OK,772
33673,OK,808
35237,OK,817
40349,OK,772
33227,OK,762
39617,OK,828
54227,OK,967
30929,OK,788
33127,OK,780
47941,OK,907
54227,OK,1040
33823,OK,726
64507,OK,1154
36581,OK,776
40723,OK,956
52891,OK,1689
40301,OK,1382
29893,OK,1272
57311,OK,5663
28907,OK,1022
31897,OK,1380
64507,OK,1824
29747,OK,750
28907,OK,718
47897,OK,1007
31861,OK,765
54227,OK,1041
33127,OK,780
43039,OK,960
41567,OK,1000
31553,OK,710
33127,OK,827
37901,OK,765
37241,OK,857
20687,OK,733
25777,OK,743
37769,OK,868
47053,OK,3108
35209,OK,1443
58483,OK,2066
39617,OK,1447
54227,OK,1526
27641,OK,929
37399,OK,1008
40363,OK,1170
48443,OK,1302
33127,OK,1022
50629,OK,1377
37523,OK,1236
34121,OK,977
64507,OK,1783
47053,OK,1394
31861,OK,747
35639,OK,878
38579,OK,1521
47053,OK,1345
28891,OK,804
52961,OK,1274
54227,OK,1121
47053,OK,1145
49163,OK,1415
47053,OK,1166
29987,OK,1040
33667,OK,717
35611,OK,850
31861,OK,771
22331,OK,731
47053,OK,1308
41917,OK,875
40349,OK,988
51067,OK,1091
40247,OK,1026
55973,OK,1227
35953,OK,887
54707,OK,1244
28103,OK,838
55973,OK,1176
27161,OK,1176
49447,OK,1017
39917,OK,965
47053,OK,1075
37769,OK,1032
40301,OK,1074
47941,OK,1049
35953,OK,1194
53743,OK,1275
33127,OK,949
24883,OK,859
57311,OK,1223
31439,OK,1360
38293,OK,1051
57311,OK,1366
61937,OK,1621
30301,OK,944
56977,OK,1255
24797,OK,869
57311,OK,1252
42919,OK,1249
35209,OK,923
37399,OK,1061
47477,OK,1247
32399,OK,904
35011,OK,1022
48319,OK,1243
40349,OK,943
46003,OK,1132
47897,OK,1337
48443,OK,1401
55973,OK,1516
37001,OK,4224
43931,OK,1340
26671,OK,1115
40349,OK,1251
59989,OK,1620
33227,OK,993
57311,OK,1067
30551,OK,871
35209,OK,860
41707,OK,1414
44377,OK,1391
40913,OK,1175
48319,OK,1622
40723,OK,1509
54227,OK,1457
40991,OK,1441
47053,OK,1479
53743,OK,1569
54707,OK,1529
53297,OK,1714
54253,OK,1685
54227,OK,1753
29893,OK,1286
24523,OK,1254
41567,OK,1594
54227,OK,1453
30227,OK,1152
38293,OK,1196
54227,OK,1719
48319,OK,1518
58339,OK,1680
17947,OK,1145
43423,OK,1403
52961,OK,1548
23393,OK,1077
20413,OK,1194
52961,OK,1619
41567,OK,1353
49163,OK,1897
41917,OK,1191
31439,OK,1273
58339,OK,1426
31439,OK,1050
26167,OK,1146
35909,OK,1116
20567,OK,1090
54707,OK,1754
47053,OK,1560
21509,OK,1118
35011,OK,1239
50621,OK,1614
55973,OK,1368
49163,OK,1533
38191,OK,1530
28891,OK,1269
44929,OK,1267
30929,OK,1228
61423,OK,1826
35909,OK,1174
35011,OK,1160
