Numero,Estado,Tiempo de Ejecución (ns),Tiempo de Exploración (ns),Tiempo de Divisibilidad (ns)
37837,OK,4077,1824,1209
53743,OK,945,422,146
42919,OK,1276,477,288
46031,OK,605,295,0
34571,OK,4590,2260,986
37837,OK,2794,1328,581
39407,OK,3754,1810,859
40913,OK,2225,873,560
36581,OK,3906,1915,829
43039,OK,3215,1109,958
40991,OK,2383,1023,552
41693,OK,3725,1555,871
46003,OK,3084,1225,717
41917,OK,992,320,218
52961,OK,3427,1407,840
57311,OK,1012,463,168
37627,OK,630,264,0
39271,OK,2831,1345,656
38579,OK,2910,1387,617
47053,OK,2154,864,522
60491,OK,5132,2356,1095
33667,OK,389,102,0
29353,OK,1776,586,566
57311,OK,905,396,147
48319,OK,2339,956,623
28417,OK,2111,1018,430
37001,OK,1517,553,404
52961,OK,2588,1084,640
41917,OK,871,302,175
35611,OK,1682,627,463
36581,OK,2054,990,436
49601,OK,1602,527,515
43811,OK,1526,484,516
46031,OK,721,342,0
46517,OK,5297,2408,1194
24883,OK,2176,902,557
23393,OK,2150,856,533
50851,OK,3586,1375,908
39407,OK,2195,1079,422
64507,OK,1827,1115,226
38579,OK,2882,1358,660
37837,OK,2503,1198,517
55973,OK,961,431,127
28459,OK,1862,662,519
36503,OK,1924,892,418
28103,OK,1767,857,374
43357,OK,278,110,0
35639,OK,1670,799,350
58853,OK,3173,1376,726
64507,OK,1436,879,165
46517,OK,2663,1186,632
35183,OK,500,154,77
35011,OK,1753,830,347
57479,OK,3509,1559,792
47897,OK,2235,953,514
25777,OK,1794,720,469
35639,OK,2169,1039,450
40301,OK,519,237,0
27641,OK,803,273,0
23393,OK,2617,1063,686
31439,OK,1758,708,462
61937,OK,4089,1884,936
64507,OK,1414,828,168
36581,OK,1741,837,359
38191,OK,2509,1234,554
29987,OK,1788,828,344
59989,OK,698,332,86
28459,OK,1803,715,455
34571,OK,2242,1035,512
36503,OK,2204,1052,485
51983,OK,2453,1048,552
39407,OK,2111,1026,417
50851,OK,2199,925,510
57311,OK,744,336,101
52961,OK,3076,1308,705
43931,OK,2264,878,631
50629,OK,1917,683,557
41989,OK,827,277,187
