Numero,Estado,Tiempo de Ejecución (ns)
2658645617,OK,311501
3758347007,OK,431165
2474301457,OK,309391
1356830149,OK,304817
3610153619,OK,437684
3778929629,OK,455671
4031206951,OK,456011
3925613317,OK,469263
3766938431,OK,448590
2280114329,OK,275994
3375869789,OK,406401
1976534167,OK,261069
4162975777,OK,498430
4008069199,OK,255923
3757796993,OK,256866
2800345693,OK,202700
3046087171,OK,206792
3744013589,OK,255561
2958079331,OK,199096
3009578419,OK,214947
3347117797,OK,293136
2833262009,OK,355043
3888506821,OK,484614
1915262047,OK,336190
4032513319,OK,279467
2117273527,OK,195820
3958598071,OK,286014
1201174939,OK,152812
3606965003,OK,274503
4181030587,OK,618567
4165466183,OK,1025510
3057252049,OK,445354
3237069041,OK,386439
2915480599,OK,514959
4028716283,OK,423590
2125574929,OK,429313
3101737649,OK,407619
3693840049,OK,508844
4270618531,OK,314990
3251487181,OK,283260
3272721169,OK,372780
3922566191,OK,483729
2609368123,OK,400919
2916210233,OK,376932
2212332509,OK,258320
2403307327,OK,286857
4111865081,OK,517714
4177131769,OK,550472
3349530533,OK,421775
3108456833,OK,385154
3588000799,OK,434010
2039300209,OK,303646
3760709671,OK,437737
4262862697,OK,499431
4037275811,OK,489710
2937661777,OK,406985
2025695297,OK,366148
3817857649,OK,271104
3244041557,OK,289414
2269611847,OK,164870
1668044857,OK,183069
3919436263,OK,254398
4116270671,OK,280820
3420750901,OK,260506
4017957841,OK,468888
3461320879,OK,321960
1694650549,OK,226879
4073837387,OK,292427
3719291119,OK,825311
2967845893,OK,330330
1907680409,OK,355056
3044198231,OK,445678
2209120163,OK,294352
4145112107,OK,770581
4230609961,OK,562924
1951698631,OK,345768
4262337613,OK,420692
3907797997,OK,416840
2937516787,OK,348504
2569012223,OK,199079
3237139291,OK,200458
3162750083,OK,201668
2474385677,OK,167409
2927572589,OK,203725
2802830731,OK,250968
1932009061,OK,238195
3428545919,OK,303871
2023119023,OK,165760
2222160823,OK,174765
3280323461,OK,249765
2551412389,OK,341233
3786140999,OK,280006
2943688129,OK,269093
3918038801,OK,353384
2193681653,OK,164396
3873673571,OK,271857
3798904537,OK,249002
4092376139,OK,255993
1915178633,OK,139111
4269807007,OK,253337
3737553643,OK,300984
3807275113,OK,252735
2194823167,OK,228513
3611585333,OK,270624
3200043559,OK,210817
2152642097,OK,134170
3660436519,OK,247516
3910821139,OK,321117
2213507941,OK,173009
3555500407,OK,491508
3482522629,OK,725199
4168611959,OK,343039
1720665019,OK,293620
1335383453,OK,564482
3904131689,OK,840155
3697294807,OK,562050
4177131769,OK,590154
4132094299,OK,586900
3151762969,OK,342668
