Numero,Estado,Tiempo de Ejecución (us),Tiempo de Exploración (us),Tiempo de Divisibilidad (us)
37837,OK,4,0,0
53743,OK,0,0,0
42919,OK,0,0,0
46031,OK,0,0,0
34571,OK,2,0,0
37837,OK,2,0,0
39407,OK,2,0,0
40913,OK,12,0,0
36581,OK,2,0,0
43039,OK,2,0,0
40991,OK,2,0,0
41693,OK,3,0,0
46003,OK,2,0,0
41917,OK,1,0,0
52961,OK,2,0,0
57311,OK,1,0,0
37627,OK,0,0,0
39271,OK,3,0,0
38579,OK,3,0,0
47053,OK,2,0,0
60491,OK,5,0,0
33667,OK,0,0,0
29353,OK,2,0,0
57311,OK,1,0,0
48319,OK,2,0,0
28417,OK,2,0,0
37001,OK,1,0,0
52961,OK,2,0,0
41917,OK,1,0,0
35611,OK,2,0,0
36581,OK,2,0,0
49601,OK,2,0,0
43811,OK,2,0,0
46031,OK,0,0,0
46517,OK,3,0,0
24883,OK,1,0,0
23393,OK,1,0,0
50851,OK,2,0,0
39407,OK,2,0,0
64507,OK,1,0,0
38579,OK,3,0,0
37837,OK,2,0,0
55973,OK,1,0,0
28459,OK,2,0,0
36503,OK,3,0,0
28103,OK,2,0,0
43357,OK,0,0,0
35639,OK,2,0,0
58853,OK,4,0,0
64507,OK,1,0,0
46517,OK,3,0,0
35183,OK,0,0,0
35011,OK,2,0,0
57479,OK,4,0,0
47897,OK,2,0,0
25777,OK,2,0,0
35639,OK,2,0,0
40301,OK,0,0,0
27641,OK,0,0,0
23393,OK,2,0,0
31439,OK,2,0,0
61937,OK,5,0,0
64507,OK,1,0,0
36581,OK,2,0,0
38191,OK,3,0,0
29987,OK,2,0,0
59989,OK,1,0,0
28459,OK,2,0,0
34571,OK,3,0,0
36503,OK,2,0,0
51983,OK,4,0,0
39407,OK,3,0,0
50851,OK,2,0,0
57311,OK,0,0,0
52961,OK,3,0,0
43931,OK,2,0,0
50629,OK,2,0,0
41989,OK,2,0,0
54227,OK,4,0,0
28459,OK,3,0,0
39407,OK,3,0,0
58339,OK,4,0,0
52961,OK,4,0,0
31439,OK,3,0,0
27161,OK,3,0,0
47053,OK,18,14,0
55973,OK,1,0,0
50629,OK,3,0,0
58339,OK,4,0,0
64507,OK,3,0,0
57311,OK,1,0,0
33043,OK,3,0,0
31439,OK,2,0,0
33227,OK,1,0,0
26219,OK,2,0,0
34387,OK,1,0,0
28907,OK,0,0,0
35237,OK,0,0,0
31861,OK,1,0,0
40349,OK,2,0,0
41347,OK,3,0,0
43931,OK,2,0,0
44461,OK,2,0,0
33227,OK,2,0,0
33127,OK,3,0,0
28103,OK,3,0,0
33673,OK,1,0,0
35237,OK,1,0,0
40349,OK,4,0,0
33227,OK,2,0,0
39617,OK,4,0,0
54227,OK,4,0,0
30929,OK,3,0,0
33127,OK,3,0,0
47941,OK,0,0,0
54227,OK,3,0,0
33823,OK,3,0,0
64507,OK,3,0,0
36581,OK,3,0,0
40723,OK,2,0,0
52891,OK,3,0,0
40301,OK,0,0,0
29893,OK,1,0,0
57311,OK,1,0,0
28907,OK,1,0,0
31897,OK,1,0,0
64507,OK,2,0,0
29747,OK,1,0,0
28907,OK,1,0,0
47897,OK,3,0,0
31861,OK,1,0,0
54227,OK,4,0,0
33127,OK,3,0,0
43039,OK,3,0,0
41567,OK,3,0,0
31553,OK,1,0,0
33127,OK,3,0,0
37901,OK,0,0,0
37241,OK,1,0,0
20687,OK,1,0,0
25777,OK,2,0,0
37769,OK,2,0,0
47053,OK,3,0,0
35209,OK,1,0,0
58483,OK,6,0,0
39617,OK,4,0,0
54227,OK,3,0,0
27641,OK,0,0,0
37399,OK,1,0,0
40363,OK,3,0,0
48443,OK,1,0,0
33127,OK,3,0,0
50629,OK,2,0,0
37523,OK,2,0,0
34121,OK,1,0,0
64507,OK,1,0,0
47053,OK,2,0,0
31861,OK,0,0,0
35639,OK,2,0,0
38579,OK,2,0,0
47053,OK,2,0,0
28891,OK,0,0,0
52961,OK,2,0,0
54227,OK,2,0,0
47053,OK,2,0,0
49163,OK,2,0,0
47053,OK,3,0,0
29987,OK,2,0,0
33667,OK,0,0,0
35611,OK,2,0,0
31861,OK,1,0,0
22331,OK,1,0,0
47053,OK,3,0,0
41917,OK,1,0,0
40349,OK,3,0,0
51067,OK,1,0,0
40247,OK,1,0,0
55973,OK,1,0,0
35953,OK,3,0,0
54707,OK,3,0,0
28103,OK,3,0,0
55973,OK,1,0,0
27161,OK,3,0,0
49447,OK,3,0,0
39917,OK,3,0,0
47053,OK,3,0,0
37769,OK,2,0,0
40301,OK,0,0,0
47941,OK,0,0,0
35953,OK,3,0,0
53743,OK,1,0,0
33127,OK,3,0,0
24883,OK,2,0,0
57311,OK,1,0,0
31439,OK,2,0,0
38293,OK,3,0,0
57311,OK,1,0,0
61937,OK,7,0,0
30301,OK,3,0,0
56977,OK,3,0,0
24797,OK,1,0,0
57311,OK,5,0,1
42919,OK,1,0,0
35209,OK,1,0,0
37399,OK,21,2,4
47477,OK,3,0,0
32399,OK,2,0,0
35011,OK,3,0,0
