Numero,Estado,Tiempo de Ejecución (us)
167254737528293,OK,42214
250160597777689,OK,65038
272817786389021,OK,66905
273204951552131,OK,64107
264076256253743,OK,63703
256501147719209,OK,66437
280375816749001,OK,71449
268143189193409,OK,67466
256172670804007,OK,66403
162846432324041,OK,81736
242704777142357,OK,64713
264145147672837,OK,63765
272188915931311,OK,68840
279347304554039,OK,71188
148373795122297,OK,35870
233410932389023,OK,60927
228623138202581,OK,54039
191560169816749,OK,53683
273640257540371,OK,65996
241183547252519,OK,69877
263376098657807,OK,63493
142624092406141,OK,35324
279757391409031,OK,68411
155135330680613,OK,38684
246393110926037,OK,62905
144307274128253,OK,36222
212832228282061,OK,53006
211001397326077,OK,53320
212097570014299,OK,51048
147890671559443,OK,36616
272679489240971,OK,66677
211536571255967,OK,52318
280655702445031,OK,70103
278933626629253,OK,67163
152950890397831,OK,38328
222344211242173,OK,56267
272941045991641,OK,64571
140665547807593,OK,50638
212234463725897,OK,60901
212113796461783,OK,53978
280653425066431,OK,66331
140802357626327,OK,33423
278186897639423,OK,66128
243103155604217,OK,61406
281474641166387,OK,67696
271664634524641,OK,64252
280401468146203,OK,67337
246279525360923,OK,57409
280315970217593,OK,67135
219280730607859,OK,53341
213175737778123,OK,51048
247970311803127,OK,59789
247398382407937,OK,58529
279350139979541,OK,66250
279148340572681,OK,66387
207597316176409,OK,50003
263013352070401,OK,64577
211690436893207,OK,51070
246298060558013,OK,62244
260393199967163,OK,65326
239925947924011,OK,60788
262349881016591,OK,60501
273152888470963,OK,65648
143935186255039,OK,35038
281406391463903,OK,68278
281436490297097,OK,68385
148121032436639,OK,37737
163288421938571,OK,50538
281472963445087,OK,73703
133079062292591,OK,34644
142607969669897,OK,35151
263874602245291,OK,61863
145410143953037,OK,36586
279412220093317,OK,65709
255793016256787,OK,64227
208771149431203,OK,51164
259753223683781,OK,62002
278742179808823,OK,67031
277592374405121,OK,68335
273599558112557,OK,67532
221975991262477,OK,57099
172145702197817,OK,41980
281338409820547,OK,66658
260603829702257,OK,63015
244826907552901,OK,57856
227846354095067,OK,56159
231815125594889,OK,60485
141562978634111,OK,36476
281406156640069,OK,66677
281193094125821,OK,65203
186176722293871,OK,49127
272481269009857,OK,65315
244685452161971,OK,60227
245958056408503,OK,58498
276882257998391,OK,64526
274825635876299,OK,67824
232813709834711,OK,59284
263820170591071,OK,61645
281407163027929,OK,67897
139634829816367,OK,34004
246772056455933,OK,58958
267967689339923,OK,62374
276845489710931,OK,65521
211610353231429,OK,51379
272723296155839,OK,65865
260797212504683,OK,63022
262886873864591,OK,64000
248725387153939,OK,59373
147627133593493,OK,37727
244436898112129,OK,57986
210621694532017,OK,53354
241415950187693,OK,59747
276468711862699,OK,64907
280277941731629,OK,68826
163880968241083,OK,41437
277198089012557,OK,71579
280392745808869,OK,75750
280381193788469,OK,65721
272683755641317,OK,65881
277210444047029,OK,65039
281344751624449,OK,66775
264148170620101,OK,64115
281303412930509,OK,66788
208171363000243,OK,49773
210288113111029,OK,50478
279345003015203,OK,64855
274843680106663,OK,64959
143834901338299,OK,34778
147224457969731,OK,36315
153834820923331,OK,38265
280646288668961,OK,67051
144950543214563,OK,34862
280384626547357,OK,66103
272208046282369,OK,65961
245445831777689,OK,61613
279280215260413,OK,65911
274395382424711,OK,67386
246904799168143,OK,58183
206307498062411,OK,52503
280926125457881,OK,66123
264617496534773,OK,63492
92930687772401,OK,35787
211315063268693,OK,51227
280925422779923,OK,65546
204543313394561,OK,49548
277557690467819,OK,65065
144638954932123,OK,34513
280917284964101,OK,66887
280857004331129,OK,69318
205477889863123,OK,47610
139019695945891,OK,34172
271154015317447,OK,66894
206070290884769,OK,51077
252943551224437,OK,59986
228421916581427,OK,53777
