Numero,Estado,Tiempo de Ejecución (us)
2658645617,OK,199
3758347007,OK,369
2474301457,OK,217
1356830149,OK,151
3610153619,OK,254
3778929629,OK,277
4031206951,OK,276
3925613317,OK,275
3766938431,OK,259
2280114329,OK,164
3375869789,OK,206
1976534167,OK,135
4162975777,OK,250
4008069199,OK,350
3757796993,OK,246
2800345693,OK,205
3046087171,OK,327
3744013589,OK,347
2958079331,OK,210
3009578419,OK,225
3347117797,OK,280
2833262009,OK,221
3888506821,OK,396
1915262047,OK,208
4032513319,OK,299
2117273527,OK,144
3958598071,OK,304
1201174939,OK,145
3606965003,OK,232
4181030587,OK,253
4165466183,OK,268
3057252049,OK,205
3237069041,OK,221
2915480599,OK,215
4028716283,OK,253
2125574929,OK,139
3101737649,OK,202
3693840049,OK,236
4270618531,OK,273
3251487181,OK,207
3272721169,OK,218
3922566191,OK,467
2609368123,OK,532
2916210233,OK,328
2212332509,OK,143
2403307327,OK,250
4111865081,OK,380
4177131769,OK,247
3349530533,OK,200
3108456833,OK,193
3588000799,OK,298
2039300209,OK,264
3760709671,OK,441
4262862697,OK,359
4037275811,OK,386
2937661777,OK,225
2025695297,OK,147
3817857649,OK,319
3244041557,OK,257
2269611847,OK,201
1668044857,OK,170
3919436263,OK,260
4116270671,OK,343
3420750901,OK,281
4017957841,OK,306
3461320879,OK,225
1694650549,OK,272
4073837387,OK,505
3719291119,OK,270
2967845893,OK,303
1907680409,OK,174
3044198231,OK,374
2209120163,OK,234
4145112107,OK,472
4230609961,OK,459
1951698631,OK,276
4262337613,OK,467
3907797997,OK,409
2937516787,OK,208
2569012223,OK,227
3237139291,OK,247
3162750083,OK,249
2474385677,OK,163
2927572589,OK,185
2802830731,OK,216
1932009061,OK,139
3428545919,OK,222
2023119023,OK,149
2222160823,OK,141
3280323461,OK,206
2551412389,OK,297
3786140999,OK,278
2943688129,OK,307
3918038801,OK,267
2193681653,OK,164
3873673571,OK,347
3798904537,OK,256
4092376139,OK,259
1915178633,OK,128
4269807007,OK,283
3737553643,OK,252
3807275113,OK,241
2194823167,OK,142
3611585333,OK,256
3200043559,OK,342
2152642097,OK,212
3660436519,OK,322
3910821139,OK,239
2213507941,OK,146
3555500407,OK,289
3482522629,OK,264
4168611959,OK,267
1720665019,OK,180
1335383453,OK,220
3904131689,OK,239
3697294807,OK,245
4177131769,OK,267
4132094299,OK,265
3151762969,OK,241
2357018953,OK,155
1730823109,OK,271
3914220263,OK,248
3689147699,OK,240
2529140987,OK,204
2889646873,OK,219
2835831601,OK,390
4197687931,OK,291
4211860231,OK,422
2889792559,OK,353
4032891007,OK,414
3966200873,OK,326
4089499423,OK,272
4052585399,OK,291
3124865741,OK,297
4040980897,OK,358
3966200873,OK,269
1759940411,OK,137
3994500749,OK,284
2214560767,OK,166
4230201431,OK,257
4079138201,OK,260
2156164771,OK,135
3213622001,OK,204
3292835939,OK,296
3919379341,OK,266
4271010253,OK,311
2967047549,OK,227
1937314091,OK,161
4237687957,OK,333
3994702183,OK,281
3947328331,OK,267
2448343663,OK,166
3838103453,OK,256
3300315331,OK,211
4022595523,OK,248
2628899083,OK,167
4252564543,OK,276
2505382163,OK,200
3406587931,OK,252
4236524059,OK,277
3774472441,OK,281
3746363921,OK,252
3772171471,OK,218
3650571283,OK,256
2897782373,OK,207
4037879077,OK,251
2260270487,OK,171
3259348321,OK,261
1833219961,OK,167
3063199861,OK,213
2131733719,OK,145
3284648903,OK,222
3961252891,OK,257
3280159313,OK,240
3905116981,OK,274
4206637271,OK,305
2935698929,OK,370
3346735897,OK,267
4030101223,OK,278
1992403339,OK,141
3525668903,OK,452
3095651473,OK,218
3725010881,OK,266
2633223469,OK,204
3359623231,OK,251
3195637559,OK,342
4043829511,OK,428
4164198953,OK,289
3860051051,OK,273
3748998653,OK,486
4050162481,OK,260
3237327089,OK,384
4077062279,OK,277
3025330337,OK,249
3776463109,OK,298
3293075707,OK,295
4283039561,OK,273
4226865887,OK,288
2128491377,OK,161
4272057617,OK,261
2443741759,OK,151
3269458151,OK,244
4038853223,OK,257
2866885397,OK,206
4277932067,OK,264
2794852909,OK,189
4219988869,OK,261
3818906527,OK,243
2668481527,OK,331
1158620609,OK,154
3461290939,OK,232
3140386631,OK,234
3981177169,OK,258
3596557429,OK,242
3252785633,OK,225
3611775469,OK,247
2216210539,OK,179
3992948681,OK,263
3451024001,OK,224
3502323161,OK,288
4224861677,OK,263
2863575389,OK,212
2118802523,OK,141
3330482929,OK,239
3885098897,OK,248
2233224437,OK,189
3199695713,OK,240
1670241799,OK,161
3430084663,OK,244
3173231821,OK,310
3490959379,OK,407
3824935931,OK,378
3191285723,OK,294
2896893257,OK,261
2926729361,OK,330
3694377433,OK,421
3764191273,OK,390
3883270957,OK,628
2243668621,OK,189
2726624899,OK,261
1983067439,OK,247
4214471711,OK,334
4035965071,OK,272
2175252979,OK,146
4017771253,OK,258
4017097813,OK,268
3261850003,OK,400
2560455973,OK,156
2650043293,OK,170
2274020191,OK,245
3315095461,OK,244
4035551587,OK,261
3041947541,OK,235
3284008837,OK,217
2287044689,OK,196
2043286711,OK,201
4083081649,OK,269
2821721543,OK,233
2208405389,OK,137
3774698737,OK,303
3466224721,OK,268
4162975777,OK,266
3181100443,OK,201
3757381457,OK,381
4162975777,OK,312
4160232379,OK,270
3919492853,OK,260
4046375699,OK,460
1922509663,OK,279
3109066139,OK,369
3789013909,OK,464
2406706691,OK,302
4000396013,OK,462
2208117187,OK,260
4285925173,OK,526
3145210403,OK,393
3807359789,OK,436
3473072539,OK,385
1802636347,OK,282
3760446383,OK,412
3703305071,OK,431
3596626367,OK,429
3144338663,OK,346
4229357147,OK,458
3224547463,OK,399
3527512133,OK,354
4260504013,OK,388
3805967923,OK,385
2251328227,OK,158
3220815797,OK,205
3761946569,OK,347
2595865417,OK,271
3475586393,OK,338
2743566031,OK,317
3825086743,OK,269
3238117633,OK,215
2948179747,OK,300
3045816877,OK,260
