Numero,Estado,Tiempo de Ejecución (us),Tiempo de Exploración (us),Tiempo de Divisibilidad (us)
3719291119,OK,442,11,0
2967845893,OK,79,1,0
1907680409,OK,171,0,0
3044198231,OK,131,1,0
2209120163,OK,299,4,0
4145112107,OK,181,15,0
4230609961,OK,887,52,32
1951698631,OK,85,0,0
4262337613,OK,896,283,1
3907797997,OK,240,13,10
2937516787,OK,2,0,0
2569012223,OK,30,0,0
3237139291,OK,550,59,17
3162750083,OK,336,9,13
2474385677,OK,172,9,9
2927572589,OK,629,31,32
2802830731,OK,3,0,0
1932009061,OK,28,5,0
3428545919,OK,374,2,9
2023119023,OK,314,38,10
2222160823,OK,44,0,0
3280323461,OK,229,1,0
2551412389,OK,73,0,0
3786140999,OK,752,69,1
2943688129,OK,299,7,0
3918038801,OK,706,48,0
2193681653,OK,6,0,0
3873673571,OK,719,145,7
3798904537,OK,791,35,38
4092376139,OK,202,141,0
1915178633,OK,1,0,0
4269807007,OK,264,48,40
3737553643,OK,617,127,0
3807275113,OK,586,22,107
2194823167,OK,131,2,0
3611585333,OK,814,114,0
3200043559,OK,10,0,0
2152642097,OK,14,0,0
3660436519,OK,172,135,5
3910821139,OK,389,3,0
2213507941,OK,16,0,0
3555500407,OK,601,47,23
3482522629,OK,315,17,0
4168611959,OK,162,29,0
1720665019,OK,142,24,1
1335383453,OK,352,2,10
3904131689,OK,500,14,0
3697294807,OK,29,14,0
4177131769,OK,670,194,0
4132094299,OK,325,260,0
3151762969,OK,1,0,0
2357018953,OK,142,1,0
1730823109,OK,433,9,24
3914220263,OK,524,45,0
3689147699,OK,88,0,0
2529140987,OK,274,9,0
2889646873,OK,244,31,6
2835831601,OK,19,0,0
4197687931,OK,956,46,0
4211860231,OK,470,7,0
2889792559,OK,12,0,0
4032891007,OK,808,38,3
3966200873,OK,137,15,8
4089499423,OK,1102,261,5
4052585399,OK,209,25,0
3124865741,OK,143,22,0
4040980897,OK,936,156,26
3966200873,OK,75,0,0
1759940411,OK,16,0,0
3994500749,OK,795,126,0
2214560767,OK,1,0,0
4230201431,OK,584,42,4
4079138201,OK,849,146,0
2156164771,OK,36,13,0
3213622001,OK,30,18,0
3292835939,OK,441,156,0
3919379341,OK,348,3,0
4271010253,OK,217,25,0
2967047549,OK,265,3,0
1937314091,OK,77,0,0
4237687957,OK,595,47,0
3994702183,OK,171,5,0
3947328331,OK,518,341,11
2448343663,OK,103,0,0
3838103453,OK,121,22,0
3300315331,OK,187,0,0
4022595523,OK,423,99,1
2628899083,OK,166,8,0
4252564543,OK,263,181,0
2505382163,OK,18,0,0
3406587931,OK,615,30,0
4236524059,OK,583,47,1
3774472441,OK,595,66,0
3746363921,OK,30,0,0
3772171471,OK,146,0,0
3650571283,OK,1280,252,35
2897782373,OK,105,1,1
4037879077,OK,491,50,10
2260270487,OK,283,75,0
3259348321,OK,339,28,13
1833219961,OK,15,0,0
3063199861,OK,533,17,11
2131733719,OK,2,1,0
3284648903,OK,207,5,0
3961252891,OK,228,2,0
3280159313,OK,59,0,0
3905116981,OK,827,109,0
4206637271,OK,982,285,40
2935698929,OK,454,179,11
3346735897,OK,380,61,0
4030101223,OK,554,25,0
1992403339,OK,57,0,0
3525668903,OK,40,0,0
3095651473,OK,702,35,7
3725010881,OK,740,52,11
2633223469,OK,393,183,0
3359623231,OK,7,0,0
3195637559,OK,133,2,0
4043829511,OK,151,2,11
4164198953,OK,733,221,11
3860051051,OK,647,65,12
3748998653,OK,224,50,0
4050162481,OK,391,0,7
3237327089,OK,17,0,0
4077062279,OK,64,7,0
3025330337,OK,369,14,0
3776463109,OK,262,125,0
3293075707,OK,90,3,0
4283039561,OK,653,180,0
4226865887,OK,660,19,0
2128491377,OK,235,1,1
4272057617,OK,416,186,0
2443741759,OK,317,2,4
3269458151,OK,832,103,0
4038853223,OK,428,3,16
2866885397,OK,12,2,0
4277932067,OK,836,159,37
2794852909,OK,375,124,0
4219988869,OK,561,1,6
3818906527,OK,52,2,0
2668481527,OK,135,25,0
1158620609,OK,4,0,0
3461290939,OK,660,142,20
3140386631,OK,28,0,0
3981177169,OK,826,64,9
3596557429,OK,716,69,14
3252785633,OK,404,153,0
3611775469,OK,176,59,12
2216210539,OK,620,163,78
3992948681,OK,115,24,0
3451024001,OK,612,136,3
3502323161,OK,549,18,0
4224861677,OK,411,169,7
2863575389,OK,327,3,0
2118802523,OK,35,13,0
3330482929,OK,527,16,29
3885098897,OK,1326,192,19
2233224437,OK,271,41,18
3199695713,OK,125,7,7
1670241799,OK,4,0,0
3430084663,OK,274,3,0
3173231821,OK,25,14,0
3490959379,OK,55,0,0
3824935931,OK,302,162,0
3191285723,OK,397,18,2
2896893257,OK,298,19,4
2926729361,OK,437,26,13
3694377433,OK,32,0,0
3764191273,OK,38,0,0
3883270957,OK,284,136,0
2243668621,OK,364,5,11
2726624899,OK,404,118,12
1983067439,OK,24,0,0
4214471711,OK,991,45,3
4035965071,OK,71,6,0
2175252979,OK,108,1,0
4017771253,OK,165,8,0
4017097813,OK,503,5,0
3261850003,OK,215,0,9
2560455973,OK,464,2,11
2650043293,OK,591,30,24
2274020191,OK,636,51,10
3315095461,OK,357,117,10
4035551587,OK,423,15,11
3041947541,OK,96,11,22
3284008837,OK,272,16,0
2287044689,OK,61,0,0
2043286711,OK,118,1,0
4083081649,OK,652,81,0
2821721543,OK,340,8,13
2208405389,OK,55,1,0
3774698737,OK,264,54,0
3466224721,OK,26,0,0
4162975777,OK,528,35,44
3181100443,OK,322,108,0
3757381457,OK,41,0,0
4162975777,OK,546,22,7
4160232379,OK,754,209,0
3919492853,OK,357,23,0
4046375699,OK,333,54,10
1922509663,OK,44,15,0
3109066139,OK,239,2,0
3789013909,OK,594,29,4
2406706691,OK,379,16,0
4000396013,OK,52,0,0
2208117187,OK,38,0,0
4285925173,OK,618,151,0
3145210403,OK,394,8,0
3807359789,OK,406,126,0
3473072539,OK,510,184,1
1802636347,OK,13,0,0
3760446383,OK,764,121,3
3703305071,OK,22,1,0
3596626367,OK,1005,141,7
3144338663,OK,500,40,3
4229357147,OK,636,43,0
3224547463,OK,309,2,0
3527512133,OK,102,0,0
4260504013,OK,485,8,0
3805967923,OK,531,47,0
2251328227,OK,366,10,0
3220815797,OK,9,0,0
3761946569,OK,802,79,11
2595865417,OK,44,0,0
3475586393,OK,124,17,0
2743566031,OK,92,0,0
3825086743,OK,388,9,10
3238117633,OK,26,0,0
2948179747,OK,96,0,0
3045816877,OK,10,0,0
3892040863,OK,162,2,0
2786572583,OK,485,16,11
4188273059,OK,409,25,0
3941743081,OK,59,0,0
4041526133,OK,174,0,5
3913518041,OK,455,4,0
3170090227,OK,358,141,0
2548687871,OK,9,0,0
1934568541,OK,0,0,0
4019449747,OK,418,118,0
2090605021,OK,397,13,16
4280155933,OK,432,187,0
4021875061,OK,249,0,0
3753684367,OK,214,30,42
1969749451,OK,361,20,19
3594168629,OK,228,127,1
3990310169,OK,373,95,0
4275320347,OK,576,126,0
2341947599,OK,29,0,0
2162180833,OK,284,0,0
2941570301,OK,239,0,0
4043419771,OK,516,149,11
3275360329,OK,76,0,0
3744825023,OK,312,20,0
2588420033,OK,351,127,1
4114801879,OK,9,0,0
2082154859,OK,0,0,0
3774131279,OK,276,9,5
3379173367,OK,91,12,0
3105208597,OK,378,16,0
1111962017,OK,1,0,0
3991763861,OK,506,18,0
3195387509,OK,659,280,15
4237614509,OK,757,62,11
4233937619,OK,797,113,3
3143614037,OK,152,6,1
3722150569,OK,932,104,1
3540990419,OK,784,102,13
4014087067,OK,81,0,0
3524718661,OK,26,0,1
4247115211,OK,645,142,12
3789013909,OK,562,47,4
4066458457,OK,458,14,10
4161140741,OK,258,3,0
4286318299,OK,291,99,0
4278714119,OK,232,25,0
4049337233,OK,321,0,3
3969034613,OK,777,143,0
2796704231,OK,360,11,0
3773959919,OK,101,0,0
4136991751,OK,205,0,0
4278714119,OK,316,31,0
3960558031,OK,546,25,17
2198032987,OK,20,0,0
2457842791,OK,67,0,0
2121613519,OK,2,0,0
3388330013,OK,213,26,0
4212128527,OK,177,18,0
3681415267,OK,243,7,0
3999024611,OK,776,125,6
3564406073,OK,499,27,0
4146984749,OK,524,117,0
3151738517,OK,327,213,0
3262825231,OK,577,31,0
4020871697,OK,416,27,2
4114801879,OK,9,0,0
3935357513,OK,889,82,0
3551933089,OK,903,108,31
4075018679,OK,1408,385,11
3752146681,OK,281,71,0
3887802157,OK,93,1,0
2085639433,OK,27,0,0
3841574179,OK,737,284,0
4012734881,OK,93,14,0
3826823831,OK,802,83,21
4030821761,OK,111,2,0
3586116503,OK,273,5,0
4001492609,OK,723,16,13
3643763117,OK,43,15,0
4236313969,OK,389,7,0
2949560683,OK,368,10,0
4281073451,OK,269,89,0
1749649849,OK,49,0,0
3007614859,OK,273,3,0
3820990403,OK,732,162,0
1272423253,OK,6,0,0
1940593309,OK,20,0,0
3442417123,OK,101,10,0
2646273569,OK,179,0,0
4028100631,OK,55,0,0
3507983513,OK,575,26,0
3936301409,OK,339,203,0
4012360981,OK,97,0,0
3225927751,OK,9,0,0
1881694967,OK,2,0,0
3756875803,OK,101,0,0
4114414561,OK,588,180,0
1755790823,OK,102,0,0
2155199443,OK,263,9,0
3140768149,OK,249,9,0
3745965833,OK,72,0,0
3608587429,OK,540,45,0
3922699537,OK,372,29,0
4088394671,OK,73,8,0
2372146313,OK,95,0,0
3872493539,OK,457,14,1
3625894751,OK,360,51,0
3616999013,OK,631,137,0
2489459041,OK,15,0,0
2034365513,OK,1,0,0
2578771649,OK,84,0,0
3612883949,OK,562,45,6
2799663001,OK,45,0,0
3339105437,OK,73,0,0
3583453187,OK,505,63,6
2394722641,OK,279,25,0
4161832399,OK,958,35,203
2381790043,OK,288,7,0
4145659213,OK,264,14,0
2634376447,OK,252,25,107
3312727667,OK,383,36,0
3963561853,OK,573,20,13
3144254831,OK,166,33,0
3379860139,OK,32,1,0
2617449407,OK,302,1,0
1731877643,OK,27,0,0
3041915221,OK,781,206,15
3543839323,OK,328,2,0
3724121017,OK,422,36,0
4031770703,OK,60,0,0
3770209081,OK,236,1,0
3388322417,OK,344,3,0
4105598779,OK,511,132,0
2219554061,OK,248,36,7
3510751553,OK,232,11,0
2079712853,OK,4,0,0
4012360981,OK,116,0,8
4026994297,OK,90,2,7
3247948183,OK,59,0,0
3576122549,OK,525,14,0
4010526929,OK,584,61,8
4128886297,OK,243,0,0
3373319597,OK,602,28,1
1872793519,OK,101,2,0
1966005269,OK,105,0,0
4263378461,OK,469,99,0
1924599361,OK,372,12,8
3641307259,OK,236,60,0
3377970097,OK,249,2,0
2956854599,OK,221,49,2
4290249559,OK,184,103,0
3139017779,OK,50,6,0
3247161739,OK,89,0,1
3859840423,OK,624,150,0
2384825893,OK,176,0,0
2222351981,OK,80,0,0
3658733363,OK,573,228,0
1733903341,OK,27,0,0
3336220529,OK,96,0,0
2768457343,OK,160,0,0
3559543787,OK,491,36,51
1669247521,OK,3,0,0
2536933499,OK,17,14,0
3047928209,OK,596,14,15
2830819961,OK,84,0,0
2809229497,OK,53,0,0
2099921077,OK,1,0,0
3264144203,OK,167,3,0
2597262683,OK,226,31,21
2139520277,OK,2,1,0
3156170153,OK,113,32,0
3422025157,OK,970,181,33
1365451069,OK,218,17,49
2614270691,OK,319,30,1
3051344383,OK,3,0,0
4076257973,OK,546,4,1
3027354931,OK,487,14,12
1851375563,OK,311,9,0
3084400607,OK,387,10,21
4246848343,OK,410,7,0
3103667011,OK,196,7,0
4149957787,OK,216,1,0
4162958417,OK,648,361,0
4257902933,OK,412,7,7
2986084523,OK,107,0,0
4020569321,OK,100,0,0
3930497387,OK,69,0,0
3336902501,OK,527,50,0
2367187129,OK,18,0,0
3317476243,OK,21,0,0
4226865887,OK,706,18,0
3194666243,OK,3,0,0
1646159653,OK,21,0,0
3136440337,OK,9,0,0
3184284353,OK,287,8,0
3055269403,OK,193,5,0
4154621089,OK,732,228,0
3599754583,OK,344,3,0
3086838863,OK,19,0,0
4278714119,OK,249,32,0
4110677251,OK,275,0,0
4096024643,OK,409,0,0
3545852491,OK,399,48,0
3052134257,OK,81,0,0
4129109069,OK,682,429,0
2113606427,OK,14,0,0
2723281013,OK,129,0,0
3566487917,OK,522,49,1
2819170271,OK,7,0,0
3501999533,OK,102,17,0
3177492319,OK,9,0,0
3624042869,OK,293,13,0
3553290661,OK,257,10,0
3915792833,OK,328,8,0
