Numero,Estado,Tiempo de Ejecución (us),Tiempo de Exploración (us),Tiempo de Divisibilidad (us)
2658645617,OK,438,6,0
3758347007,OK,66,3,0
2474301457,OK,85,0,0
1356830149,OK,16,0,0
3610153619,OK,918,100,0
3778929629,OK,77,0,0
4031206951,OK,311,30,0
3925613317,OK,448,143,1
3766938431,OK,263,4,0
2280114329,OK,133,11,0
3375869789,OK,662,60,0
1976534167,OK,9,0,0
4162975777,OK,368,0,1
4008069199,OK,455,12,8
3757796993,OK,757,36,69
2800345693,OK,9,0,0
3046087171,OK,135,13,0
3744013589,OK,21,0,0
2958079331,OK,368,37,0
3009578419,OK,178,0,0
3347117797,OK,651,35,0
2833262009,OK,6,0,0
3888506821,OK,619,115,6
1915262047,OK,0,0,0
4032513319,OK,319,23,0
2117273527,OK,14,0,0
3958598071,OK,426,52,0
1201174939,OK,309,1,0
3606965003,OK,322,11,0
4181030587,OK,1122,341,10
4165466183,OK,275,1,3
3057252049,OK,72,0,0
3237069041,OK,481,4,0
2915480599,OK,12,1,0
4028716283,OK,202,29,0
2125574929,OK,67,0,0
3101737649,OK,275,7,1
3693840049,OK,437,24,0
4270618531,OK,308,47,0
3251487181,OK,418,30,22
3272721169,OK,252,23,17
3922566191,OK,262,63,0
2609368123,OK,136,2,11
2916210233,OK,39,0,0
2212332509,OK,285,11,0
2403307327,OK,14,0,0
4111865081,OK,632,198,0
4177131769,OK,731,215,0
3349530533,OK,806,122,41
3108456833,OK,2,0,0
3588000799,OK,87,0,0
2039300209,OK,346,122,0
3760709671,OK,29,0,0
4262862697,OK,213,16,0
4037275811,OK,276,33,0
2937661777,OK,26,0,0
2025695297,OK,24,0,0
3817857649,OK,56,2,0
3244041557,OK,623,68,0
2269611847,OK,79,0,0
1668044857,OK,3,0,0
3919436263,OK,167,0,0
4116270671,OK,422,33,0
3420750901,OK,198,47,0
4017957841,OK,183,0,10
3461320879,OK,570,24,4
1694650549,OK,53,0,0
4073837387,OK,613,5,1
